seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1246674	1246760	87	*	X00080	116983	1227764	1244989	17226	-	1684	upstream	1684	ACAP3
chr1	2324849	2324849	1	*	X00191	79906	2252696	2322993	70298	-	1855	upstream	1855	MORN1
chr1	2489991	2490049	59	*	X00228	100133445	2486163	2488450	2288	-	1540	upstream	1540	NA
chr1	11898521	11898775	255	*	X00680	100379251	11900376	11907674	7299	+	1600	upstream	1600	NPPA-AS1
chr1	11900187	11900321	135	*	X00681	100379251	11900376	11907674	7299	+	54	upstream	54	NPPA-AS1
chr1	11900427	11900530	104	*	X00682	100379251	11900376	11907674	7299	+	0	inside	50	NPPA-AS1
chr1	12250026	12250076	51	*	X00810	100616438	12251762	12251839	78	+	1685	upstream	1685	MIR4632
chr1	12251376	12251473	98	*	X00811	100616438	12251762	12251839	78	+	288	upstream	288	MIR4632
chr1	12251662	12251690	29	*	X00812	100616438	12251762	12251839	78	+	71	upstream	71	MIR4632
chr1	12251751	12251930	180	*	X00813	100616438	12251762	12251839	78	+	0	includeFeature	0	MIR4632
chr1	12567066	12567155	90	*	X00839	677882	12567300	12567451	152	+	144	upstream	144	SNORA59B
chr1	26879580	26879699	120	*	X01425	100302190	26881033	26881084	52	+	1333	upstream	1333	MIR1976
chr1	26879925	26880029	105	*	X01426	100302190	26881033	26881084	52	+	1003	upstream	1003	MIR1976
chr1	26880033	26880227	195	*	X01427	100302190	26881033	26881084	52	+	805	upstream	805	MIR1976
chr1	26880465	26880629	165	*	X01428	100302190	26881033	26881084	52	+	403	upstream	403	MIR1976
chr1	26880978	26881127	150	*	X01429	100302190	26881033	26881084	52	+	0	includeFeature	0	MIR1976
chr1	27218851	27218978	128	*	X01505	54707	27205873	27216869	10997	-	1981	upstream	1981	GPN2
chr1	28905141	28905275	135	*	X01639	692212	28905255	28905334	80	-	0	overlapEnd	58	SNORD99
chr1	31212469	31212603	135	*	X01659	100616164	31212003	31212079	77	-	389	upstream	389	MIR4420
chr1	31212754	31212933	180	*	X01660	100616164	31212003	31212079	77	-	674	upstream	674	MIR4420
chr1	31213105	31213202	98	*	X01661	100616164	31212003	31212079	77	-	1025	upstream	1025	MIR4420
chr1	31422438	31422488	51	*	X01684	692234	31408536	31422052	13517	-	385	upstream	385	SNORD103A
chr1	32670350	32670363	14	*	X01755	55721	32671236	32674288	3053	+	872	upstream	872	IQCC
chr1	32689763	32689897	135	*	X01758	56063	32680078	32687926	7849	-	1836	upstream	1836	TMEM234
chr1	36769860	36769999	140	*	X01898	79729	36771994	36790484	18491	+	1994	upstream	1994	SH3D21
chr1	36771180	36771253	74	*	X01899	79729	36771994	36790484	18491	+	740	upstream	740	SH3D21
chr1	37941654	37941761	108	*	X01918	728431	37920480	37940044	19565	-	1609	upstream	1609	LINC01137
chr1	41222654	41222788	135	*	X02054	407031	41222956	41223044	89	+	167	upstream	167	MIR30C1
chr1	44170115	44170176	62	*	X02235	6487	44171495	44396837	225343	+	1318	upstream	1318	ST3GAL3
chr1	44442891	44442959	69	*	X02246	8704	44444874	44456843	11970	+	1914	upstream	1914	B4GALT2
chr1	45242434	45242598	165	*	X02301	94162	45243514	45243584	71	+	915	upstream	915	SNORD38A
chr1	45242434	45242598	165	*	X02301	94163	45244062	45244130	69	+	1463	upstream	1463	SNORD38B
chr1	45243574	45243678	105	*	X02302	94162	45243514	45243584	71	+	0	overlapEnd	59	SNORD38A
chr1	45243574	45243678	105	*	X02302	94163	45244062	45244130	69	+	383	upstream	383	SNORD38B
chr1	45807883	45808047	165	*	X02323	4595	45794914	45806142	11229	-	1740	upstream	1740	MUTYH
chr1	46089832	46089896	65	*	X02345	149483	46085716	46089731	4016	-	100	upstream	100	CCDC17
chr1	47138777	47139001	225	*	X02397	100130197	47139708	47157769	18062	+	706	upstream	706	EFCAB14-AS1
chr1	52871944	52871955	12	*	X02455	4998	52838501	52870143	31643	-	1800	upstream	1800	ORC1
chr1	71533694	71533813	120	*	X02648	406962	71533314	71533399	86	-	294	upstream	294	MIR186
chr1	93301593	93301712	120	*	X02711	6083	93302846	93302940	95	+	1133	upstream	1133	SNORD21
chr1	100501817	100501842	26	*	X02738	64645	100503789	100548929	45141	+	1946	upstream	1946	MFSD14A
chr1	117635786	117635905	120	*	X02941	100126331	117637265	117637350	86	+	1359	upstream	1359	MIR942
chr1	150478480	150478574	95	*	X03026	1893	150480487	150486265	5779	+	1912	upstream	1912	ECM1
chr1	150478616	150478775	160	*	X03027	1893	150480487	150486265	5779	+	1711	upstream	1711	ECM1
chr1	150478899	150478979	81	*	X03028	1893	150480487	150486265	5779	+	1507	upstream	1507	ECM1
chr1	151148283	151148417	135	*	X03071	29765	151142463	151148547	6085	-	0	inside	129	TMOD4
chr1	151148479	151148658	180	*	X03072	29765	151142463	151148547	6085	-	0	overlapStart	0	TMOD4
chr1	151149154	151149318	165	*	X03073	29765	151142463	151148547	6085	-	606	upstream	606	TMOD4
chr1	153745561	153746051	491	*	X03159	11000	153747768	153752633	4866	+	1716	upstream	1716	SLC27A3
chr1	153746079	153746085	7	*	X03160	11000	153747768	153752633	4866	+	1682	upstream	1682	SLC27A3
chr1	153919754	153919858	105	*	X03185	9909	153901977	153919154	17178	-	599	upstream	599	DENND4B
chr1	153920003	153920006	4	*	X03186	9909	153901977	153919154	17178	-	848	upstream	848	DENND4B
chr1	153920241	153920422	182	*	X03187	9909	153901977	153919154	17178	-	1086	upstream	1086	DENND4B
chr1	153920504	153920653	150	*	X03188	9909	153901977	153919154	17178	-	1349	upstream	1349	DENND4B
chr1	153920813	153920893	81	*	X03189	9909	153901977	153919154	17178	-	1658	upstream	1658	DENND4B
chr1	153921004	153921037	34	*	X03190	9909	153901977	153919154	17178	-	1849	upstream	1849	DENND4B
chr1	154127101	154127340	240	*	X03206	91181	153965168	154127592	162425	-	0	inside	251	NUP210L
chr1	155233573	155233672	100	*	X03333	10067	155225770	155232176	6407	-	1396	upstream	1396	SCAMP3
chr1	155288560	155288679	120	*	X03348	23623	155290640	155300909	10270	+	1960	upstream	1960	RUSC1
chr1	155289455	155289595	141	*	X03349	23623	155290640	155300909	10270	+	1044	upstream	1044	RUSC1
chr1	155403119	155403294	176	*	X03362	645682	155402971	155404053	1083	+	0	inside	147	POU5F1P4
chr1	155755281	155755400	120	*	X03378	55249	155629233	155755165	125933	-	115	upstream	115	YY1AP1
chr1	156181669	156181675	7	*	X03461	100527963	156182779	156213123	30345	+	1103	upstream	1103	PMF1-BGLAP
chr1	156181669	156181675	7	*	X03461	11243	156182779	156209868	27090	+	1103	upstream	1103	PMF1
chr1	156181841	156181923	83	*	X03462	100527963	156182779	156213123	30345	+	855	upstream	855	PMF1-BGLAP
chr1	156181841	156181923	83	*	X03462	11243	156182779	156209868	27090	+	855	upstream	855	PMF1
chr1	156218756	156218756	1	*	X03468	79957	156213112	156217908	4797	-	847	upstream	847	PAQR6
chr1	156219117	156219251	135	*	X03469	79957	156213112	156217908	4797	-	1208	upstream	1208	PAQR6
chr1	156219432	156219491	60	*	X03470	79957	156213112	156217908	4797	-	1523	upstream	1523	PAQR6
chr1	156254268	156254387	120	*	X03498	23381	156219015	156252620	33606	-	1647	upstream	1647	SMG5
chr1	156712582	156712851	270	*	X03549	79590	156707094	156710923	3830	-	1658	upstream	1658	MRPL24
chr1	156907179	156907296	118	*	X03568	768220	156905923	156906036	114	-	1142	upstream	1142	MIR765
chr1	161009467	161009586	120	*	X03675	100131187	161007422	161008774	1353	-	692	upstream	692	TSTD1
chr1	161009467	161009586	120	*	X03675	50848	160965001	161008774	43774	-	692	upstream	692	F11R
chr1	161009932	161010051	120	*	X03676	100131187	161007422	161008774	1353	-	1157	upstream	1157	TSTD1
chr1	161009932	161010051	120	*	X03676	50848	160965001	161008774	43774	-	1157	upstream	1157	F11R
chr1	161010444	161010578	135	*	X03677	100131187	161007422	161008774	1353	-	1669	upstream	1669	TSTD1
chr1	161010444	161010578	135	*	X03677	50848	160965001	161008774	43774	-	1669	upstream	1669	F11R
chr1	161127565	161127684	120	*	X03706	27005	161129254	161135516	6263	+	1569	upstream	1569	USP21
chr1	161134877	161134949	73	*	X03709	5498	161136181	161147801	11621	+	1231	upstream	1231	PPOX
chr1	161184428	161184463	36	*	X03718	2207	161185087	161189038	3952	+	623	upstream	623	FCER1G
chr1	161185071	161185132	62	*	X03719	2207	161185087	161189038	3952	+	0	overlapStart	0	FCER1G
chr1	165876763	165876897	135	*	X03757	100500832	165877158	165877213	56	+	260	upstream	260	MIR3658
chr1	173830825	173830898	74	*	X03870	100506046	173832386	173833079	694	+	1487	upstream	1487	GAS5-AS1
chr1	180243638	180243757	120	*	X03941	100527964	180238798	180243816	5019	-	0	inside	58	LHX4-AS1
chr1	207976986	207977193	208	*	X04313	407026	207975197	207975868	672	-	1117	upstream	1117	MIR29C
chr1	207990381	207990560	180	*	X04327	148696	207991724	207995941	4218	+	1163	upstream	1163	LOC148696
chr1	207991131	207991139	9	*	X04328	148696	207991724	207995941	4218	+	584	upstream	584	LOC148696
chr1	212249129	212249263	135	*	X04361	100422947	212250955	212251027	73	+	1691	upstream	1691	MIR3122
chr1	224587582	224587659	78	*	X04457	100616468	224585929	224586013	85	-	1568	upstream	1568	MIR4742
chr1	228283072	228283086	15	*	X04566	100500810	228284964	228285042	79	+	1877	upstream	1877	MIR3620
chr1	228283897	228283976	80	*	X04567	100500810	228284964	228285042	79	+	987	upstream	987	MIR3620
chr1	228284016	228284031	16	*	X04568	100500810	228284964	228285042	79	+	932	upstream	932	MIR3620
chr1	228284617	228284811	195	*	X04569	100500810	228284964	228285042	79	+	152	upstream	152	MIR3620
chr1	228284937	228285096	160	*	X04570	100500810	228284964	228285042	79	+	0	includeFeature	0	MIR3620
chr1	228335457	228335498	42	*	X04586	57165	228337415	228347527	10113	+	1916	upstream	1916	GJC2
chr1	228335905	228336067	163	*	X04587	57165	228337415	228347527	10113	+	1347	upstream	1347	GJC2
chr1	228336222	228336356	135	*	X04588	57165	228337415	228347527	10113	+	1058	upstream	1058	GJC2
chr1	228336462	228336523	62	*	X04589	57165	228337415	228347527	10113	+	891	upstream	891	GJC2
